Species,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
Pinnularia acrosphaeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pinnularia microstauron,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pinnularia viridis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pseudostaurosira brevistriata,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Punctastriata linearis,2,0,4,4,3,0,1,0,0,0,2,1,2,1,2
Reimeria sinuata,14,5,7,5,4,0,1,0,0,0,1,1,0,1,0
Rhoicosphenia abbreviata,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Stauroneis montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephanodiscus hantzschii,11,5,5,3,4,32,39,16,23,22,33,67,68,91,78
Stephanodiscus minutulus,0,0,0,0,1,0,1,0,0,0,0,2,1,3,1
Surirella angusta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surirella minuta,0,1,0,1,0,0,2,1,1,0,0,0,5,3,4
Synedra acus,1,1,0,0,0,0,0,1,0,0,2,5,2,0,0
Synedra amphicephala,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Synedra rumpens var. fragilarioides,0,0,1,0,0,0,2,8,0,2,0,0,1,2,0
Synedra tenera,34,26,30,26,17,6,0,0,2,3,0,0,0,0,3
Synedra ulna var. oxyrhynchus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassiosira bramaputrae,0,0,1,0,0,0,0,0,0,0,3,5,3,2,1
Thalassiosira weissflogii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
