Com_Sp_lst,Species,Syn,M1a,M2a,M3a,M4a,M5a,M6a,M7a,M8a,M9a,M10a,M11a,M12a,M13a,T1a,T2a,T3a,T4a,T5a,T6a,T7a,T8a,T9a,T10a,T11a,T12a,T13a,T14a,T15a,T16a,T17a,M1b,M2b,M3b,M4b,M5b,M6b,M7b,M8b,M9b,M10b,M11b,M12b,M13b,T1b,T2b,T3b,T4b,T5b,T6b,T7b,T8b,T9b,T10b,T11b,T12b,T13b,T14b,T15b,T16b,T17b
Cyclotella pseudostelligera,Discostella pseudostelligera,basionym: Cyclotella pseudostelligera,33,2,10,11,6,7,3,1,2,4,15,11,2,1,,,,,,,,,,,,,,7,,,7,1,3,7,6,3,1,1,,,2,1,1,3,,,,,2,5,,,4,1,,,1,,1,
Cyclotella radiosa,Lindavia radiosa,NA,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclotella stelligera,Discostella stelligera,Cyclotella stelligera / C meneghiniana var. stelligera,8,7,3,,,5,3,3,8,10,26,22,2,10,,,,,,2,,,1,1,,1,1,31,1,4,19,7,9,21,31,16,4,1,1,7,10,7,4,24,,,,,5,18,,,22,7,,,5,,164,210
Cymatopleura solea,Cymatopleura solea,NA,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbella affinis,Cymbella affins,NA,,,1,,1,1,1,,,,,,,5,,5,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,
Cymbella brehmii,NA,NA,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbella delicatula,NA,NA,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Cymbella gracile,Cymbella gracilis,Encyonema gracile,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,5,,,,,,,,,1,,1,,2,1,1,,,,,,,,,,,,,,2,,1,
Cymbella hustedtii,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbella lacustris,Encyonema lacustre,NA,,,,,,,,,,,,,,9,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Cymbella lanceolata,NA,NA,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbella mesiana,Encyonema mesianum,NA,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Cymbella minuta,Encyonema minutum,Cymbella minuta,5,,,1,4,,1,1,4,1,2,1,2,4,,4,,,,,,,,,1,1,1,,,1,,,,,,,,1,,,,,,,,,1,1,1,,,,,,12,2,1,,,
Cymbella neocistula,NA,NA,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
